tweet_id,text,createdat,location
1315536503532027905,Today's statistics worldwide #COVID19 https://t.co/kG9b4JSrmw,2020-10-12 06:15:18,Earth
1315536497173381120,@klgdmfr68 @GradySas @tpardy21 @mstad101 Gillis caused Covid19 right Kenny? Flat cap screwed Benning,2020-10-12 06:15:17,"Vancouver, British Columbia"
1315536492110864385,@dezmond_roleci @msianinsight Yes this is my question too! Yet none of the DCM become the spokesperson of Covid19 i… https://t.co/tZt1KHFejL,2020-10-12 06:15:15,The land beneath the Wind
1315536492085874689,There is no scientific divide on herd immunity. #CovidUK #COVID19  https://t.co/xISRjghzAO,2020-10-12 06:15:15,
1315536455763202048,"Home schooling, I've missed you like a hole in the head. 
Send help, this will be a long two weeks.
#COVID19",2020-10-12 06:15:07,"Northamptonshire, UK"
1315536448368652288,"Father and son duo hope to bring Fred Page Cup to Nanaimo

👤 | Brendan Pawliw
📰 | https://t.co/l5jVU4h2am 
📷 | Gary… https://t.co/M8j2hfEqrH",2020-10-12 06:15:05,"British Columbia, Canada"
1315536445105491968,Support local businesses! They are going to struggle more than big supermarket chains and are more likely to still… https://t.co/jPdhh4slQd,2020-10-12 06:15:04,
1315536439870926848,"As we eagerly wait for the winners of the Regional Ideathon to be decided, here's what an Ideathon coach had to say… https://t.co/2uMEE6Jbcp",2020-10-12 06:15:03,Kuwait
1315536438449049600,"Back to school  - What have we learnt?
Join us to learn from experiences of the return to school in other European… https://t.co/lzNI0bmg4m",2020-10-12 06:15:03,Norfolk
1315536437094346752,"In this week's #StayHomeMagazine ,@ronaldmugabi7 hosts  Abaas Mpindi to share the #MediaFellowshipUg experience, BB… https://t.co/t6g7STuK5A",2020-10-12 06:15:02,Kampala
1315536432614780930,"Total COVID-19 tests performed in Belarus: 2073930. 83,534 cases, of those 0 today; 896 deaths, of those 0 today.",2020-10-12 06:15:01,
1315536428626042882,"“COVID-19 is teaching us patience, tolerance, and how to feel peace within ourselves and within our homes.”… https://t.co/2cmSsDUMRt",2020-10-12 06:15:00,
